,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3175240993499756,0.022602609830221675,0.4444847106933594,0.039279104746649536,1,1,uniform,"{'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.7777777777777777,0.8076923076923077,0.88,0.8749999999999999,0.8333333333333333,0.8347606837606838,0.0391090378088921,11
1,0.3984957218170166,0.07260694314574764,0.283983039855957,0.03177236297034941,1,1,distance,"{'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.7777777777777777,0.8076923076923077,0.88,0.8749999999999999,0.8333333333333333,0.8347606837606838,0.0391090378088921,11
2,0.27811508178710936,0.014722443704173372,0.25186634063720703,0.008153292086964404,1,2,uniform,"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.8076923076923077,0.8461538461538461,0.8979591836734694,0.8749999999999999,0.8571428571428572,0.856789638932496,0.030167338133919443,2
3,0.2877816677093506,0.019791993856053354,0.1362128734588623,0.014814722814365432,1,2,distance,"{'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.8076923076923077,0.8461538461538461,0.8979591836734694,0.8749999999999999,0.8571428571428572,0.856789638932496,0.030167338133919443,2
4,0.3635253429412842,0.0667826575592635,0.49750146865844724,0.07549210056704862,2,1,uniform,"{'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",0.8260869565217391,0.7441860465116279,0.7906976744186047,0.7906976744186047,0.7272727272727272,0.7757882158286608,0.035572452717133184,25
5,0.4004786968231201,0.03190649314664904,0.41832914352416994,0.11729905490936154,2,1,distance,"{'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",0.8000000000000002,0.7755102040816326,0.88,0.8695652173913043,0.8333333333333333,0.8316817509612541,0.03982841690571997,13
6,0.576844310760498,0.12407045932912773,0.47293930053710936,0.10915061876362758,2,2,uniform,"{'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",0.8444444444444444,0.8372093023255813,0.8444444444444444,0.8181818181818181,0.6976744186046512,0.808390885600188,0.0561857949628245,19
7,0.36016049385070803,0.06318549247102391,0.1603470802307129,0.01482347217393233,2,2,distance,"{'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.8333333333333333,0.816326530612245,0.8979591836734694,0.8695652173913043,0.8571428571428572,0.854865424430642,0.02838034524910596,5
8,0.33509392738342286,0.030515133987243877,0.41193413734436035,0.02043809024254678,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7924528301886793,0.782608695652174,0.8333333333333333,0.8235294117647058,0.7346938775510204,0.7933236296979824,0.03483154201426235,21
9,0.324802827835083,0.012841760677308842,0.27848386764526367,0.012605517585888893,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7692307692307692,0.7755102040816326,0.8571428571428572,0.88,0.8085106382978724,0.8180788937506263,0.04393176699543849,17
