,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5680123805999756,0.0851136373555738,0.5006448745727539,0.09074049799640785,1,1,uniform,"{'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.7777777777777777,0.8076923076923077,0.88,0.8749999999999999,0.8333333333333333,0.8347606837606838,0.0391090378088921,11
1,0.41965417861938475,0.06681271732151335,0.2567002296447754,0.017024324828478498,1,1,distance,"{'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.7777777777777777,0.8076923076923077,0.88,0.8749999999999999,0.8333333333333333,0.8347606837606838,0.0391090378088921,11
2,0.3800833702087402,0.02061561938671738,0.3230332851409912,0.009998304440231951,1,2,uniform,"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.8076923076923077,0.8461538461538461,0.8979591836734694,0.8749999999999999,0.8571428571428572,0.856789638932496,0.030167338133919443,2
3,0.30647788047790525,0.02056487764280145,0.13187942504882813,0.004671038273962202,1,2,distance,"{'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.8076923076923077,0.8461538461538461,0.8979591836734694,0.8749999999999999,0.8571428571428572,0.856789638932496,0.030167338133919443,2
4,0.3597692966461182,0.059735240540010094,0.5426001071929931,0.11374377740881837,2,1,uniform,"{'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",0.8260869565217391,0.7441860465116279,0.7906976744186047,0.7906976744186047,0.7272727272727272,0.7757882158286608,0.035572452717133184,25
5,0.40582809448242185,0.058718788357030115,0.28710460662841797,0.021773863659473796,2,1,distance,"{'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",0.8000000000000002,0.7755102040816326,0.88,0.8695652173913043,0.8333333333333333,0.8316817509612541,0.03982841690571997,13
6,0.33801469802856443,0.02885554781151122,0.2973283290863037,0.02066787579304547,2,2,uniform,"{'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",0.8444444444444444,0.8372093023255813,0.8444444444444444,0.8181818181818181,0.6976744186046512,0.808390885600188,0.0561857949628245,19
7,0.3859212875366211,0.061438915997174395,0.17525796890258788,0.027907674706584406,2,2,distance,"{'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.8333333333333333,0.816326530612245,0.8979591836734694,0.8695652173913043,0.8571428571428572,0.854865424430642,0.02838034524910596,5
8,0.4103142261505127,0.016126701091884105,0.5319294929504395,0.052253313415818924,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7924528301886793,0.782608695652174,0.8333333333333333,0.8235294117647058,0.7346938775510204,0.7933236296979824,0.03483154201426235,21
9,0.45132813453674314,0.12182378907395784,0.2872910499572754,0.026546593066064748,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7692307692307692,0.7755102040816326,0.8571428571428572,0.88,0.8085106382978724,0.8180788937506263,0.04393176699543849,17
10,0.32991943359375,0.008073665126285446,0.3289466857910156,0.028506616699474317,3,2,uniform,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.8461538461538461,0.8749999999999999,0.9166666666666666,0.88,0.7916666666666667,0.861897435897436,0.04166358173984207,1
11,0.37123827934265136,0.020997850179281487,0.18208141326904298,0.030990976744209715,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.8235294117647058,0.8571428571428572,0.8979591836734694,0.8571428571428572,0.8085106382978724,0.8488569896043524,0.031040782616106117,6
12,0.4120364189147949,0.03328617223942287,0.42047600746154784,0.0422199244145468,4,1,uniform,"{'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.8260869565217391,0.7499999999999999,0.6829268292682927,0.8333333333333333,0.7391304347826089,0.7662955107811947,0.05660902528591205,26
13,0.3156909465789795,0.012733896633794184,0.31745519638061526,0.06568464017581599,4,1,distance,"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.7843137254901961,0.7755102040816326,0.8510638297872342,0.8571428571428572,0.8333333333333333,0.8202727899670507,0.03398473537628084,16
14,0.4407367706298828,0.10363080277299797,0.36634392738342286,0.09679941261911942,4,2,uniform,"{'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.8444444444444444,0.7804878048780487,0.7499999999999999,0.8695652173913043,0.7555555555555556,0.8000106044538706,0.04831285947003124,20
15,0.3434549331665039,0.023472956104864533,0.16654648780822753,0.020955278566571752,4,2,distance,"{'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.8627450980392156,0.8333333333333333,0.8936170212765958,0.8936170212765958,0.7916666666666667,0.8549958281184814,0.03878940751474232,4
16,0.44443726539611816,0.0864305844163923,0.5182658672332764,0.08004247699539016,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.7843137254901961,0.7142857142857143,0.6829268292682927,0.8000000000000002,0.816326530612245,0.7595705599312896,0.051755159683200616,28
17,0.38761272430419924,0.052938898328960864,0.2941755294799805,0.01925474006770916,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.7843137254901961,0.7391304347826089,0.8333333333333333,0.8571428571428572,0.8333333333333333,0.8094507368164658,0.042407804448124524,18
18,0.3295036792755127,0.029361178852469125,0.2831899166107178,0.011968983871091363,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8399999999999999,0.8695652173913043,0.7142857142857143,0.8749999999999999,0.8076923076923077,0.8213086478738653,0.058651747583138285,15
